Número de identificación,Nombre del empleado,Correo electrónico laboral,Teléfono laboral,Teléfono celular laboral,Departamento,Género,Puesto de trabajo
14-304-9540,Elisabet Greenshiels,egreenshielsx@nhs.uk,8315890766,3078730873,Compras,Femenino,Auditor
49-388-0077,Sheffy Twinberrow,stwinberrowy@upenn.edu,5495504176,3349154893,Comercial,Masculino,Auxiliar de contabilidad
61-489-9037,Katuscha Chivrall,kchivrallz@e-recht24.de,6023289391,2439643681,Comercial,Femenino,Consultor gerencial
93-264-5679,Merrile Pusey,mpusey10@mediafire.com,1453013926,5379301268,Finanzas y Control de gestión,Masculino,Chofer repartidor
42-108-4432,Ferdie Kapelhof,fkapelhof11@chron.com,8487816157,7547077454,Marketing,Femenino,Analista de sistemas
12-846-0868,Barri Steuart,bsteuart12@51.la,1836478159,2487110520,Administración y Contabilidad,Masculino,Administrador
36-601-5971,Saundra Silcock,ssilcock13@eepurl.com,6483597470,8567501817,Administración y Contabilidad,Masculino,Asistente administrativo
54-435-8486,Garnet Comer,gcomer14@wufoo.com,4588839644,7938957005,Administración y Contabilidad,Femenino,Auditor
00-295-7630,Xenia People,xpeople15@mapquest.com,6934240775,8005197162,Finanzas y Control de gestión,Femenino,Auxiliar de inventarios
83-920-9235,Crystie Glendzer,cglendzer16@tuttocitta.it,9899403899,9038389249,Compras,Masculino,Analista de sistemas
50-109-6165,Miguel Possell,mpossell17@sakura.ne.jp,6781557272,8628946005,Marketing,Femenino,Auxiliar de contabilidad
88-469-5666,Miof mela Horley,mmela18@fda.gov,4957803038,4023767898,Finanzas y Control de gestión,Femenino,Administrador
85-634-7102,Leicester Pillinger,lpillinger19@java.com,6028785616,4028311135,Comercial,Masculino,Gerente de compras
17-924-5828,Lauree Ransfield,lransfield1a@squarespace.com,9001353189,9066132422,Compras,Femenino,Secretaria
77-831-7108,Yank Kirk,ykirk1b@examiner.com,4245259449,9831579086,Comercial,Femenino,Secretaria
62-138-9788,Iolande Quemby,iquemby1c@scribd.com,4068654245,6493831693,Marketing,Femenino,Auxiliar de contabilidad
22-734-5766,Shelby Haycock,shaycock1d@smugmug.com,8876900883,3569057823,Marketing,Masculino,Auditor
